number,value,params_batch_size,params_delta_min,params_fclayer1,params_fclayer2,params_first_conv_outchann,params_learning_rate,params_max_loss_reset,params_second_conv_outchann,params_split_size,params_weight_decay,state
0,0.046329055726528165,30,0.1,210,60,6,0.0004707764852164592,7,20,0.7999999999999999,0.06913186080743013,COMPLETE
1,0.029301729202270508,50,0.1,150,90,12,0.0001184835065813287,5,24,0.75,0.011465037486912924,COMPLETE
2,0.005518150853458792,20,0.1,210,60,10,0.0005910157568036905,1,16,0.7999999999999999,0.039162437832439716,COMPLETE
3,0.049372263438999656,40,0.1,150,60,6,0.000980564602918032,9,16,0.75,0.09159943440497356,COMPLETE
4,0.0014485859428532422,40,0,120,60,12,0.00047172505911791324,1,24,0.75,0.014543013016555612,COMPLETE
5,0.002157593358424492,40,0,120,0,10,8.825091544505612e-05,3,16,0.7999999999999999,0.020010608061160222,COMPLETE
6,0.00858637448400259,40,0.1,150,60,12,1.572686443391639e-05,3,24,0.75,0.02377896453345218,COMPLETE
7,0.005624694470316172,40,0,210,150,6,0.0006755148655384169,7,24,0.7999999999999999,0.010925644948534216,COMPLETE
8,0.08536937739700079,10,0,180,150,8,8.915797763675906e-05,9,16,0.75,0.03861260353208672,COMPLETE
9,0.034711085446178916,20,0.1,180,120,12,6.827242122329001e-05,3,16,0.7999999999999999,0.04620287305437655,COMPLETE
10,0.0007160440599545836,50,0,120,0,10,0.0002478140422219919,1,20,0.7,0.016258690758085264,COMPLETE
11,0.0019016679003834725,50,0,120,0,10,0.00022205835110580645,1,20,0.7,0.016927869772102064,COMPLETE
12,0.002666657976806164,50,0,120,30,8,0.00029824211389868003,1,20,0.7,0.015453255805100196,COMPLETE
13,0.01200169709821542,30,0,120,30,12,0.00021947664589204538,1,24,0.7,0.026330075432318065,COMPLETE
14,0.0013632911071181297,50,0,150,30,10,4.2623941973629945e-05,3,20,0.7,0.014097271340479393,COMPLETE
15,0.007195768654346466,50,0,150,0,8,3.312844418172108e-05,5,20,0.7,0.01012841597615854,COMPLETE
16,0.013545845746994018,50,0,180,30,10,3.749363442084822e-05,3,20,0.7,0.020606219010616433,COMPLETE
