number,value,params_batch_size,params_delta_min,params_fclayer1,params_fclayer2,params_first_conv_outchann,params_learning_rate,params_max_loss_reset,params_second_conv_outchann,params_split_size,params_weight_decay,state
0,0.010820309864357114,10,0,150,30,10,2.9022073667213318e-05,3,16,0.75,0.03393779604655188,COMPLETE
1,0.07206092228492102,30,0,210,30,6,0.00030004508702367183,9,24,0.75,0.019252948427428418,COMPLETE
2,0.001442505681188777,20,0,180,90,10,0.0007297532017047227,5,20,0.7999999999999999,0.015647982634037258,COMPLETE
3,0.00217794252675958,10,0,150,30,12,8.954520534606007e-05,1,16,0.75,0.04589726501152058,COMPLETE
4,0.0026351179306705794,30,0,120,90,10,0.00013110714822629123,3,16,0.7,0.025290131443452546,COMPLETE
5,0.004537574201822281,50,0.1,210,60,10,1.6868680039123342e-05,1,24,0.7,0.016740620149436496,COMPLETE
6,0.03322065472602844,50,0,120,150,12,0.0009859436407404166,7,16,0.7,0.014120289715121748,COMPLETE
7,0.04035077095031738,40,0,150,60,12,1.0276048871961084e-05,9,20,0.75,0.026986804839462607,COMPLETE
8,0.047580262422561644,50,0,120,120,12,0.0002681162536708832,5,20,0.75,0.01473951414486174,COMPLETE
9,0.014111713320016862,40,0.1,210,60,12,0.00040192509915229876,7,24,0.7999999999999999,0.022845244083453335,COMPLETE
10,0.18664055094122886,20,0.1,180,120,6,0.0008102871357913034,5,20,0.7999999999999999,0.09521224650469713,COMPLETE
11,0.032555388286709785,10,0,180,0,8,5.690796659957577e-05,1,16,0.7999999999999999,0.04921937356969295,COMPLETE
12,0.0013918202137574553,20,0,150,0,8,0.00010453517238333492,3,20,0.7999999999999999,0.01012236287458078,COMPLETE
13,0.02526744920760393,20,0,180,0,8,0.00015499427757293113,3,20,0.7999999999999999,0.010387091281386368,COMPLETE
14,0.09541177600622178,20,0.1,180,90,8,4.531474684606789e-05,5,20,0.7999999999999999,0.010386123057836346,COMPLETE
15,0.011812325427308678,20,0,150,120,8,0.0004983255850177575,7,20,0.7999999999999999,0.013077293175109028,COMPLETE
16,0.0039590158189336455,30,0,150,90,10,0.00019704797690845894,3,24,0.7999999999999999,0.010115813514530855,COMPLETE
17,0.0025624630507081747,20,0,180,150,6,8.51003939929848e-05,3,20,0.7999999999999999,0.018734691365404916,COMPLETE
18,0.009518274913231532,30,0.1,180,0,8,0.0006364845360955365,5,20,0.75,0.03436040643180574,COMPLETE
19,0.007110070234011801,10,0,150,30,10,2.872288461579751e-05,5,24,0.7999999999999999,0.012874041647028319,COMPLETE
