number,value,params_batch_size,params_delta_min,params_fclayer1,params_fclayer2,params_first_conv_outchann,params_learning_rate,params_max_loss_reset,params_second_conv_outchann,params_split_size,params_weight_decay,state
0,0.0011018181918188929,40,0,210,90,6,0.0005124282379492082,3,16,0.75,0.011734997957418445,COMPLETE
1,0.07229450494050979,20,0.1,150,30,10,9.245047861001587e-05,9,24,0.7999999999999999,0.05369830532851738,COMPLETE
2,0.04911982297897339,50,0.1,120,0,6,7.175392854613258e-05,7,24,0.75,0.019093027753720248,COMPLETE
3,0.016189904045313598,20,0.1,180,30,8,0.000696679438895582,9,24,0.7,0.01147905187039557,COMPLETE
4,0.012543344870209694,20,0.1,210,90,6,7.805010448076041e-05,9,16,0.75,0.048841689285699194,COMPLETE
5,0.003854451375082135,40,0,120,0,8,9.760548748237227e-05,1,20,0.75,0.03668499146966833,COMPLETE
6,0.258747598528862,20,0.1,180,0,6,1.009874768384174e-05,9,20,0.7999999999999999,0.04881690857643383,COMPLETE
7,0.029144368171691894,50,0,120,90,8,1.4488886655133953e-05,1,20,0.75,0.031492089374239765,COMPLETE
8,0.011611938080750405,10,0.1,210,120,10,0.0007378650017347268,5,16,0.7,0.09771740480540429,COMPLETE
9,0.01274145245552063,30,0.1,180,150,10,0.0006668864130059931,5,16,0.75,0.0519798045608174,COMPLETE
10,0.0011912379879504443,40,0,210,60,12,0.0003519745367738877,3,16,0.7,0.011044021825848077,COMPLETE
11,0.001681297877803445,40,0,210,60,12,0.00028024529506574857,3,16,0.7,0.01002798185265998,COMPLETE
12,0.0034598400816321373,40,0,210,60,12,0.0003151467051172951,3,16,0.7,0.015706936802994467,COMPLETE
13,0.00020768325969887277,30,0,150,120,12,0.0003208251433233969,3,16,0.7999999999999999,0.018153031427079948,COMPLETE
14,0.004483923812707265,30,0,150,150,10,0.00019946088996565262,3,20,0.7999999999999999,0.01997192416394871,COMPLETE
15,0.010680867731571198,30,0,150,120,8,3.235131929293389e-05,1,16,0.7999999999999999,0.01453694183024165,COMPLETE
16,0.011327312886714935,50,0,150,120,12,0.0001801431837833125,5,20,0.7999999999999999,0.026026228797532986,COMPLETE
17,0.036993992421776055,10,0,180,90,6,0.00044807385829786757,7,16,0.75,0.014492949072706374,COMPLETE
18,0.002017912920564413,40,0,180,120,8,0.0001585480203843024,3,20,0.75,0.021130090515158108,COMPLETE
19,0.002981736045330763,30,0,150,150,10,0.0004734512831334729,5,16,0.7999999999999999,0.014265127173294595,COMPLETE
20,0.009895793783167997,30,0,120,90,6,0.0009223303578792171,1,20,0.75,0.023819069552331262,COMPLETE
21,0.0187034297734499,40,0,210,60,12,0.00036271752985903835,3,16,0.7,0.0111401507683974,COMPLETE
22,0.004415961587801576,40,0,210,30,12,0.00024250767680774273,3,16,0.7,0.012015589276823366,COMPLETE
23,0.055349874496459964,50,0,180,60,12,0.0004976389328965941,3,16,0.7999999999999999,0.01654429750643086,COMPLETE
24,0.009072181272010009,30,0,210,90,12,0.0001345055825418638,5,16,0.7,0.01240391693143447,COMPLETE
25,3.888423816533759e-05,40,0,180,120,10,0.0009754328331239872,1,16,0.75,0.010022269077183872,COMPLETE
26,0.0001305114768911153,40,0,150,120,10,0.0009663761536308132,1,16,0.75,0.01794867826094335,COMPLETE
27,0.0009054575441405177,50,0,150,120,10,0.0008995482121930277,1,16,0.75,0.029399072975236785,COMPLETE
28,0.005491544678807259,40,0,150,150,10,5.18417161497278e-05,1,20,0.75,0.03954810695073304,COMPLETE
29,0.0050121234419445194,30,0,150,120,10,0.0009762236263647919,1,16,0.75,0.01757064216134456,COMPLETE
30,0.00033530493965372443,30,0,180,150,10,0.0005687107738671241,1,16,0.7999999999999999,0.02483857720995877,COMPLETE
31,0.004509955334166686,30,0,180,150,10,0.0006077593423420847,1,16,0.7999999999999999,0.02576590429051582,COMPLETE
32,0.0013952680281363427,20,0,180,120,10,0.0005707666959289011,1,16,0.7999999999999999,0.0216606584795587,COMPLETE
33,0.006419419000546138,30,0,150,150,10,0.00041919975794734116,1,16,0.7999999999999999,0.03794487786493923,COMPLETE
